Large,50,30,6,12351,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",17900,0.3674
Large,50,30,6,12351,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",15300,0.3917
Large,50,30,6,12351,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",13900,26.0581
Large,50,30,7,12352,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",15800,0.3889
Large,50,30,7,12352,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",15400,0.3393
Large,50,30,7,12352,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",14800,26.4242
Large,50,30,8,12353,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",16400,0.3645
Large,50,30,8,12353,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",14800,0.3446
Large,50,30,8,12353,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",14500,26.2662
Large,50,30,9,12354,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",16700,0.3643
Large,50,30,9,12354,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",15400,0.3773
Large,50,30,9,12354,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",14200,26.3399
Large,50,30,10,12355,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",18600,0.3478
Large,50,30,10,12355,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",16500,0.3602
Large,50,30,10,12355,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",14900,26.3664
